frame,sec_elapsed,frontwheel_x,frontwheel_y,frontwheel_r,frontfender_x,frontfender_y,rearwheel_x,rearwheel_y,rearwheel_r,rearfender_x,rearfender_y
0,0,0,0,0,0,0,0,0,0,0,0
1,0.01668335,0,0,0,0,0,0,0,0,0,0
2,0.0333667,0,0,0,0,0,0,0,0,0,0
3,0.05005005,0,0,0,0,0,0,0,0,0,0
4,0.0667334,0,0,0,0,0,0,0,0,0,0
5,0.08341675,0,0,0,0,0,0,0,0,0,0
6,0.1001001,0,0,0,0,0,0,0,0,0,0
7,0.11678345,0,0,0,0,0,0,0,0,0,0
8,0.1334668,0,0,0,0,0,0,0,0,0,0
9,0.15015015,0,0,0,0,0,0,0,0,0,0
10,0.1668335,0,0,0,0,0,0,0,0,0,0
11,0.18351685,0,0,0,0,0,0,0,0,0,0
12,0.2002002,0,0,0,0,0,0,0,0,0,0
13,0.21688355,0,0,0,0,0,0,0,0,0,0
14,0.2335669,0,0,0,0,0,0,0,0,0,0
15,0.25025025,0,0,0,0,0,0,0,0,0,0
16,0.2669336,0,0,0,0,0,0,0,0,0,0
17,0.28361695,0,0,0,0,0,0,0,0,0,0
18,0.3003003,0,0,0,0,0,0,0,0,0,0
19,0.31698365,0,0,0,0,0,0,0,0,0,0
20,0.333667,0,0,0,0,0,0,0,0,0,0
21,0.35035035,0,0,0,0,0,0,0,0,0,0
22,0.3670337,0,0,0,0,0,0,0,0,0,0
23,0.38371705,0,0,0,0,0,0,0,0,0,0
24,0.4004004,0,0,0,0,0,0,0,0,0,0
25,0.41708375,0,0,0,0,0,0,0,0,0,0
26,0.4337671,0,0,0,0,0,0,0,0,0,0
27,0.45045045,0,0,0,0,0,0,0,0,0,0
28,0.4671338,0,0,0,0,0,0,0,0,0,0
29,0.48381715,0,0,0,0,0,0,0,0,0,0
30,0.500500501,0,0,0,0,0,0,0,0,0,0
31,0.517183851,0,0,0,0,0,0,0,0,0,0
32,0.533867201,0,0,0,0,0,0,0,0,0,0
33,0.550550551,0,0,0,0,0,0,0,0,0,0
34,0.567233901,0,0,0,0,0,0,0,0,0,0
35,0.583917251,0,0,0,0,0,0,0,0,0,0
36,0.600600601,0,0,0,0,0,0,0,0,0,0
37,0.617283951,0,0,0,0,0,0,0,0,0,0
38,0.633967301,0,0,0,0,0,0,0,0,0,0
39,0.650650651,0,0,0,0,0,0,0,0,0,0
40,0.667334001,0,0,0,0,0,0,0,0,0,0
41,0.684017351,0,0,0,0,0,0,0,0,0,0
42,0.700700701,0,0,0,0,0,0,0,0,0,0
43,0.717384051,0,0,0,0,0,0,0,0,0,0
44,0.734067401,0,0,0,0,0,0,0,0,0,0
45,0.750750751,0,0,0,0,0,0,0,0,0,0
46,0.767434101,0,0,0,0,0,0,0,0,0,0
47,0.784117451,0,0,0,0,0,0,0,0,0,0
48,0.800800801,0,0,0,0,0,0,0,0,0,0
49,0.817484151,0,0,0,0,0,0,0,0,0,0
50,0.834167501,0,0,0,0,0,0,0,0,0,0
51,0.850850851,0,0,0,0,0,0,0,0,0,0
52,0.867534201,0,0,0,0,0,0,0,0,0,0
53,0.884217551,0,0,0,0,0,0,0,0,0,0
54,0.900900901,0,0,0,0,0,0,0,0,0,0
55,0.917584251,0,0,0,0,0,0,0,0,0,0
56,0.934267601,0,0,0,0,0,0,0,0,0,0
57,0.950950951,0,0,0,0,0,0,0,0,0,0
58,0.967634301,0,0,0,0,0,0,0,0,0,0
59,0.984317651,0,0,0,0,0,0,0,0,0,0
60,1.001001001,0,0,0,0,0,0,0,0,0,0
61,1.017684351,0,0,0,0,0,0,0,0,0,0
62,1.034367701,0,0,0,0,0,0,0,0,0,0
63,1.051051051,0,0,0,0,0,0,0,0,0,0
64,1.067734401,0,0,0,0,0,0,0,0,0,0
65,1.084417751,0,0,0,0,0,0,0,0,0,0
66,1.101101101,0,0,0,0,0,0,0,0,0,0
67,1.117784451,0,0,0,0,0,0,0,0,0,0
68,1.134467801,0,0,0,0,0,0,0,0,0,0
69,1.151151151,0,0,0,0,0,0,0,0,0,0
70,1.167834501,0,0,0,0,0,0,0,0,0,0
71,1.184517851,0,0,0,0,0,0,0,0,0,0
72,1.201201201,0,0,0,0,0,0,0,0,0,0
73,1.217884551,0,0,0,0,0,0,0,0,0,0
74,1.234567901,0,0,0,0,0,0,0,0,0,0
75,1.251251251,0,0,0,0,0,0,0,0,0,0
76,1.267934601,0,0,0,0,0,0,0,0,0,0
77,1.284617951,0,0,0,0,0,0,0,0,0,0
78,1.301301301,0,0,0,0,0,0,0,0,0,0
79,1.317984651,0,0,0,0,0,0,0,0,0,0
80,1.334668001,0,0,0,0,0,0,0,0,0,0
81,1.351351351,0,0,0,0,0,0,0,0,0,0
82,1.368034701,0,0,0,0,0,0,0,0,0,0
83,1.384718051,0,0,0,0,0,0,0,0,0,0
84,1.401401401,0,0,0,0,0,0,0,0,0,0
85,1.418084751,0,0,0,0,0,0,0,0,0,0
86,1.434768101,0,0,0,0,0,0,0,0,0,0
87,1.451451451,0,0,0,0,0,0,0,0,0,0
88,1.468134801,0,0,0,0,0,0,0,0,0,0
89,1.484818151,0,0,0,0,0,0,0,0,0,0
90,1.501501502,0,0,0,0,0,0,0,0,0,0
91,1.518184852,0,0,0,0,0,0,0,0,0,0
92,1.534868202,0,0,0,0,0,0,0,0,0,0
93,1.551551552,0,0,0,0,0,0,0,0,0,0
94,1.568234902,0,0,0,0,0,0,0,0,0,0
95,1.584918252,0,0,0,0,0,0,0,0,0,0
96,1.601601602,0,0,0,0,0,0,0,0,0,0
97,1.618284952,0,0,0,0,0,0,0,0,0,0
98,1.634968302,0,0,0,0,0,0,0,0,0,0
99,1.651651652,0,0,0,0,0,0,0,0,0,0
100,1.668335002,0,0,0,0,0,0,0,0,0,0
101,1.685018352,0,0,0,0,0,0,0,0,0,0
102,1.701701702,0,0,0,0,0,0,0,0,0,0
103,1.718385052,0,0,0,0,0,0,0,0,0,0
104,1.735068402,0,0,0,0,0,0,0,0,0,0
105,1.751751752,0,0,0,0,0,0,0,0,0,0
106,1.768435102,0,0,0,0,0,0,0,0,0,0
107,1.785118452,0,0,0,0,0,0,0,0,0,0
108,1.801801802,0,0,0,0,0,0,0,0,0,0
109,1.818485152,0,0,0,0,0,0,0,0,0,0
110,1.835168502,0,0,0,0,0,0,0,0,0,0
111,1.851851852,0,0,0,0,0,0,0,0,0,0
112,1.868535202,0,0,0,0,0,0,0,0,0,0
113,1.885218552,0,0,0,0,0,0,0,0,0,0
114,1.901901902,0,0,0,0,0,0,0,0,0,0
115,1.918585252,0,0,0,0,0,0,0,0,0,0
116,1.935268602,0,0,0,0,0,0,0,0,0,0
117,1.951951952,0,0,0,0,0,0,0,0,0,0
118,1.968635302,0,0,0,0,0,0,0,0,0,0
119,1.985318652,0,0,0,0,0,0,0,0,0,0
120,2.002002002,0,0,0,0,0,0,0,0,0,0
121,2.018685352,0,0,0,0,0,0,0,0,0,0
122,2.035368702,0,0,0,0,0,0,0,0,0,0
123,2.052052052,0,0,0,0,0,0,0,0,0,0
124,2.068735402,0,0,0,0,0,0,0,0,0,0
125,2.085418752,0,0,0,0,0,0,0,0,0,0
126,2.102102102,0,0,0,0,0,0,0,0,0,0
127,2.118785452,0,0,0,0,0,0,0,0,0,0
128,2.135468802,0,0,0,0,0,0,0,0,0,0
129,2.152152152,0,0,0,0,0,0,0,0,0,0
130,2.168835502,0,0,0,0,0,0,0,0,0,0
131,2.185518852,0,0,0,0,0,0,0,0,0,0
132,2.202202202,0,0,0,0,0,0,0,0,0,0
133,2.218885552,0,0,0,0,0,0,0,0,0,0
134,2.235568902,0,0,0,0,0,0,0,0,0,0
135,2.252252252,0,0,0,0,0,0,0,0,0,0
136,2.268935602,0,0,0,0,0,0,0,0,0,0
137,2.285618952,0,0,0,0,0,0,0,0,0,0
138,2.302302302,0,0,0,0,0,0,0,0,0,0
139,2.318985652,0,0,0,0,0,0,0,0,0,0
140,2.335669002,0,0,0,0,0,0,0,0,0,0
141,2.352352352,0,0,0,0,0,0,0,0,0,0
142,2.369035702,0,0,0,0,0,0,0,0,0,0
143,2.385719052,0,0,0,0,0,0,0,0,0,0
144,2.402402402,0,0,0,0,0,0,0,0,0,0
145,2.419085752,0,0,0,0,0,0,0,0,0,0
146,2.435769102,0,0,0,0,0,0,0,0,0,0
147,2.452452452,0,0,0,0,0,0,0,0,0,0
148,2.469135802,0,0,0,0,0,0,0,0,0,0
149,2.485819152,0,0,0,0,0,0,0,0,0,0
150,2.502502503,0,0,0,0,0,0,0,0,0,0
151,2.519185853,0,0,0,0,0,0,0,0,0,0
152,2.535869203,0,0,0,0,0,0,0,0,0,0
153,2.552552553,0,0,0,0,0,0,0,0,0,0
154,2.569235903,0,0,0,0,0,0,0,0,0,0
155,2.585919253,0,0,0,0,0,0,0,0,0,0
156,2.602602603,0,0,0,0,0,0,0,0,0,0
157,2.619285953,0,0,0,0,0,0,0,0,0,0
158,2.635969303,0,0,0,0,0,0,0,0,0,0
159,2.652652653,0,0,0,0,0,0,0,0,0,0
160,2.669336003,0,0,0,0,0,0,0,0,0,0
161,2.686019353,0,0,0,0,0,0,0,0,0,0
162,2.702702703,0,0,0,0,0,0,0,0,0,0
163,2.719386053,0,0,0,0,0,0,0,0,0,0
164,2.736069403,0,0,0,0,0,0,0,0,0,0
165,2.752752753,0,0,0,0,0,0,0,0,0,0
166,2.769436103,0,0,0,0,0,0,0,0,0,0
167,2.786119453,0,0,0,0,0,0,0,0,0,0
168,2.802802803,0,0,0,0,0,0,0,0,0,0
169,2.819486153,0,0,0,0,0,0,0,0,0,0
170,2.836169503,0,0,0,0,0,0,0,0,0,0
171,2.852852853,0,0,0,0,0,0,0,0,0,0
172,2.869536203,0,0,0,0,0,0,0,0,0,0
173,2.886219553,0,0,0,0,0,0,0,0,0,0
174,2.902902903,0,0,0,0,0,0,0,0,0,0
175,2.919586253,0,0,0,0,0,0,0,0,0,0
176,2.936269603,0,0,0,0,0,0,0,0,0,0
177,2.952952953,0,0,0,0,0,0,0,0,0,0
178,2.969636303,0,0,0,0,0,0,0,0,0,0
179,2.986319653,0,0,0,0,0,0,0,0,0,0
180,3.003003003,0,0,0,0,0,0,0,0,0,0
181,3.019686353,0,0,0,0,0,0,0,0,0,0
182,3.036369703,0,0,0,0,0,0,0,0,0,0
183,3.053053053,0,0,0,0,0,0,0,0,0,0
184,3.069736403,0,0,0,0,0,0,0,0,0,0
185,3.086419753,0,0,0,0,0,0,0,0,0,0
186,3.103103103,0,0,0,0,0,0,0,0,0,0
187,3.119786453,0,0,0,0,0,0,0,0,0,0
188,3.136469803,0,0,0,0,0,0,0,0,0,0
189,3.153153153,0,0,0,0,0,0,0,0,0,0
190,3.169836503,0,0,0,0,0,0,0,0,0,0
191,3.186519853,0,0,0,0,0,0,0,0,0,0
192,3.203203203,0,0,0,0,0,0,0,0,0,0
193,3.219886553,0,0,0,0,0,0,0,0,0,0
194,3.236569903,0,0,0,0,0,0,0,0,0,0
195,3.253253253,0,0,0,0,0,0,0,0,0,0
196,3.269936603,0,0,0,0,0,0,0,0,0,0
197,3.286619953,0,0,0,0,0,0,0,0,0,0
198,3.303303303,0,0,0,0,0,0,0,0,0,0
199,3.319986653,0,0,0,0,0,0,0,0,0,0
200,3.336670003,0,0,0,0,0,0,0,0,0,0
201,3.353353353,0,0,0,0,0,0,0,0,0,0
202,3.370036703,0,0,0,0,0,0,0,0,0,0
203,3.386720053,0,0,0,0,0,0,0,0,0,0
204,3.403403403,0,0,0,0,0,0,0,0,0,0
205,3.420086753,0,0,0,0,0,0,0,0,0,0
206,3.436770103,0,0,0,0,0,0,0,0,0,0
207,3.453453453,0,0,0,0,0,0,0,0,0,0
208,3.470136803,0,0,0,0,0,0,0,0,0,0
209,3.486820153,0,0,0,0,0,0,0,0,0,0
210,3.503503504,0,0,0,0,0,0,0,0,0,0
211,3.520186854,0,0,0,0,0,0,0,0,0,0
212,3.536870204,0,0,0,0,0,0,0,0,0,0
213,3.553553554,0,0,0,0,0,0,0,0,0,0
214,3.570236904,0,0,0,0,0,0,0,0,0,0
215,3.586920254,0,0,0,0,0,0,0,0,0,0
216,3.603603604,0,0,0,0,0,0,0,0,0,0
217,3.620286954,0,0,0,0,0,0,0,0,0,0
218,3.636970304,0,0,0,0,0,0,0,0,0,0
219,3.653653654,0,0,0,0,0,0,0,0,0,0
220,3.670337004,0,0,0,0,0,0,0,0,0,0
221,3.687020354,0,0,0,0,0,0,0,0,0,0
222,3.703703704,0,0,0,0,0,0,0,0,0,0
223,3.720387054,0,0,0,0,0,0,0,0,0,0
224,3.737070404,0,0,0,0,0,0,0,0,0,0
225,3.753753754,0,0,0,0,0,0,0,0,0,0
226,3.770437104,0,0,0,0,0,0,0,0,0,0
227,3.787120454,0,0,0,0,0,0,0,0,0,0
228,3.803803804,0,0,0,0,0,0,0,0,0,0
229,3.820487154,0,0,0,0,0,0,0,0,0,0
230,3.837170504,0,0,0,0,0,0,0,0,0,0
231,3.853853854,0,0,0,0,0,0,0,0,0,0
232,3.870537204,0,0,0,0,0,0,0,0,0,0
233,3.887220554,0,0,0,0,0,0,0,0,0,0
234,3.903903904,0,0,0,0,0,0,0,0,0,0
235,3.920587254,0,0,0,0,0,0,0,0,0,0
236,3.937270604,0,0,0,0,0,0,0,0,0,0
237,3.953953954,0,0,0,0,0,0,0,0,0,0
238,3.970637304,0,0,0,0,0,0,0,0,0,0
239,3.987320654,0,0,0,0,0,0,0,0,0,0
240,4.004004004,0,0,0,0,0,0,0,0,0,0
241,4.020687354,0,0,0,0,0,0,0,0,0,0
242,4.037370704,0,0,0,0,0,0,0,0,0,0
243,4.054054054,0,0,0,0,0,0,0,0,0,0
244,4.070737404,0,0,0,0,0,0,0,0,0,0
245,4.087420754,0,0,0,0,0,0,0,0,0,0
246,4.104104104,0,0,0,0,0,0,0,0,0,0
247,4.120787454,0,0,0,0,0,0,0,0,0,0
248,4.137470804,0,0,0,0,0,0,0,0,0,0
249,4.154154154,0,0,0,0,0,0,0,0,0,0
250,4.170837504,0,0,0,0,0,0,0,0,0,0
251,4.187520854,0,0,0,0,0,0,0,0,0,0
252,4.204204204,0,0,0,0,0,0,0,0,0,0
253,4.220887554,0,0,0,0,0,0,0,0,0,0
254,4.237570904,0,0,0,0,0,0,0,0,0,0
255,4.254254254,0,0,0,0,0,0,0,0,0,0
256,4.270937604,0,0,0,0,0,0,0,0,0,0
257,4.287620954,0,0,0,0,0,0,0,0,0,0
258,4.304304304,0,0,0,0,0,0,0,0,0,0
259,4.320987654,0,0,0,0,0,0,0,0,0,0
260,4.337671004,0,0,0,0,0,0,0,0,0,0
261,4.354354354,0,0,0,0,0,0,0,0,0,0
262,4.371037704,0,0,0,0,0,0,0,0,0,0
263,4.387721054,0,0,0,0,0,0,0,0,0,0
264,4.404404404,0,0,0,0,0,0,0,0,0,0
265,4.421087754,0,0,0,0,0,0,0,0,0,0
266,4.437771104,0,0,0,0,0,0,0,0,0,0
267,4.454454454,0,0,0,0,0,0,0,0,0,0
268,4.471137804,0,0,0,0,0,0,0,0,0,0
269,4.487821154,0,0,0,0,0,0,0,0,0,0
270,4.504504505,0,0,0,0,0,0,0,0,0,0
271,4.521187855,0,0,0,0,0,0,0,0,0,0
272,4.537871205,0,0,0,0,0,0,0,0,0,0
273,4.554554555,0,0,0,0,0,0,0,0,0,0
274,4.571237905,0,0,0,0,0,0,0,0,0,0
275,4.587921255,0,0,0,0,0,0,0,0,0,0
276,4.604604605,0,0,0,0,0,0,0,0,0,0
277,4.621287955,0,0,0,0,0,0,0,0,0,0
278,4.637971305,0,0,0,0,0,0,0,0,0,0
279,4.654654655,0,0,0,0,0,0,0,0,0,0
280,4.671338005,0,0,0,0,0,0,0,0,0,0
281,4.688021355,0,0,0,0,0,0,0,0,0,0
282,4.704704705,0,0,0,0,0,0,0,0,0,0
283,4.721388055,0,0,0,0,0,0,0,0,0,0
284,4.738071405,0,0,0,0,0,0,0,0,0,0
285,4.754754755,0,0,0,0,0,0,0,0,0,0
286,4.771438105,0,0,0,0,0,0,0,0,0,0
287,4.788121455,0,0,0,0,0,0,0,0,0,0
288,4.804804805,0,0,0,0,0,0,0,0,0,0
289,4.821488155,0,0,0,0,0,0,0,0,0,0
290,4.838171505,0,0,0,0,0,0,0,0,0,0
291,4.854854855,0,0,0,0,0,0,0,0,0,0
292,4.871538205,0,0,0,0,0,0,0,0,0,0
293,4.888221555,0,0,0,0,0,0,0,0,0,0
294,4.904904905,0,0,0,0,0,0,0,0,0,0
295,4.921588255,0,0,0,0,0,0,0,0,0,0
296,4.938271605,0,0,0,0,0,0,0,0,0,0
297,4.954954955,0,0,0,0,0,0,0,0,0,0
298,4.971638305,0,0,0,0,0,0,0,0,0,0
299,4.988321655,2628,190,30,2628,123,0,0,0,0,0
300,5.005005005,2615,188,30,2615,123,0,0,0,0,0
301,5.021688355,2608,190,29,2608,123,0,0,0,0,0
302,5.038371705,2597,190,28,2597,123,0,0,0,0,0
303,5.055055055,2589,192,27,2589,123,0,0,0,0,0
304,5.071738405,2580,192,29,2580,123,0,0,0,0,0
305,5.088421755,2570,192,27,2570,123,0,0,0,0,0
306,5.105105105,2559,188,30,2559,123,0,0,0,0,0
307,5.121788455,2553,190,29,2553,123,0,0,0,0,0
308,5.138471805,2541,190,28,2541,123,0,0,0,0,0
309,5.155155155,2531,190,28,2531,123,0,0,0,0,0
310,5.171838505,2525,190,29,2525,123,0,0,0,0,0
311,5.188521855,2517,190,30,2517,123,0,0,0,0,0
312,5.205205205,2508,190,30,2508,123,0,0,0,0,0
313,5.221888555,2498,190,29,2498,123,0,0,0,0,0
314,5.238571905,2487,190,31,2487,123,0,0,0,0,0
315,5.255255255,2483,190,29,2483,123,0,0,0,0,0
316,5.271938605,2472,190,27,2472,123,0,0,0,0,0
317,5.288621955,2461,190,31,2461,123,0,0,0,0,0
318,5.305305305,2458,190,27,2458,123,0,0,0,0,0
319,5.321988655,2448,192,28,2448,123,0,0,0,0,0
320,5.338672005,2440,190,29,2440,123,0,0,0,0,0
321,5.355355355,2428,188,29,2428,123,0,0,0,0,0
322,5.372038705,2424,192,28,2424,123,0,0,0,0,0
323,5.388722055,2414,192,29,2414,123,0,0,0,0,0
324,5.405405405,2405,188,30,2405,123,0,0,0,0,0
325,5.422088755,2396,188,29,2396,123,0,0,0,0,0
326,5.438772105,2389,192,30,2389,123,0,0,0,0,0
327,5.455455455,2383,192,29,2383,123,0,0,0,0,0
328,5.472138805,2372,188,29,2372,123,0,0,0,0,0
329,5.488822155,2368,192,28,2368,124,0,0,0,0,0
330,5.505505506,2356,190,29,2356,124,0,0,0,0,0
331,5.522188856,2349,192,28,2349,124,0,0,0,0,0
332,5.538872206,2341,190,29,2341,124,0,0,0,0,0
333,5.555555556,2336,192,29,2336,124,0,0,0,0,0
334,5.572238906,2326,192,29,2326,124,0,0,0,0,0
335,5.588922256,2322,192,28,2322,125,0,0,0,0,0
336,5.605605606,2313,192,29,2313,125,0,0,0,0,0
337,5.622288956,2306,188,32,2306,125,0,0,0,0,0
338,5.638972306,2298,192,30,2298,125,0,0,0,0,0
339,5.655655656,2288,192,29,2288,125,0,0,0,0,0
340,5.672339006,2282,190,29,2282,125,0,0,0,0,0
341,5.689022356,2274,190,29,2274,125,0,0,0,0,0
342,5.705705706,2268,188,29,2268,125,0,0,0,0,0
343,5.722389056,2263,192,29,2263,125,0,0,0,0,0
344,5.739072406,2254,192,30,2254,125,0,0,0,0,0
345,5.755755756,2248,192,29,2248,125,0,0,0,0,0
346,5.772439106,2238,190,29,2238,125,0,0,0,0,0
347,5.789122456,2230,188,27,2230,125,0,0,0,0,0
348,5.805805806,2225,190,30,2225,125,0,0,0,0,0
349,5.822489156,2217,188,27,2217,125,0,0,0,0,0
350,5.839172506,2213,190,29,2213,125,0,0,0,0,0
351,5.855855856,2208,192,29,2208,125,0,0,0,0,0
352,5.872539206,2200,190,30,2200,125,0,0,0,0,0
353,5.889222556,2192,188,28,2192,125,0,0,0,0,0
354,5.905905906,2187,190,29,2187,125,0,0,0,0,0
355,5.922589256,2179,190,29,2179,125,0,0,0,0,0
356,5.939272606,2174,188,29,2174,125,0,0,0,0,0
357,5.955955956,2167,190,29,2167,125,0,0,0,0,0
358,5.972639306,2163,192,29,2163,125,0,0,0,0,0
359,5.989322656,2159,192,29,2159,125,0,0,0,0,0
360,6.006006006,2148,190,27,2148,125,0,0,0,0,0
361,6.022689356,2145,190,29,2145,125,0,0,0,0,0
362,6.039372706,2139,188,29,2139,125,0,0,0,0,0
363,6.056056056,2136,192,28,2136,125,0,0,0,0,0
364,6.072739406,2127,190,30,2127,125,0,0,0,0,0
365,6.089422756,2120,190,29,2120,125,0,0,0,0,0
366,6.106106106,2115,188,27,2115,125,0,0,0,0,0
367,6.122789456,2112,192,28,2112,125,0,0,0,0,0
368,6.139472806,2105,190,29,2105,125,0,0,0,0,0
369,6.156156156,2101,190,29,2101,125,0,0,0,0,0
370,6.172839506,2094,188,29,2094,125,0,0,0,0,0
371,6.189522856,2089,188,28,2089,125,0,0,0,0,0
372,6.206206206,2086,190,28,2086,125,0,0,0,0,0
373,6.222889556,2078,188,29,2078,125,0,0,0,0,0
374,6.239572906,2076,190,29,2076,125,0,0,0,0,0
375,6.256256256,2068,188,29,2068,125,0,0,0,0,0
376,6.272939606,2064,190,29,2064,125,0,0,0,0,0
377,6.289622956,2058,190,28,2058,125,0,0,0,0,0
378,6.306306306,2056,190,29,2056,125,0,0,0,0,0
379,6.322989656,2050,190,28,2050,125,0,0,0,0,0
380,6.339673006,2046,190,29,2046,125,0,0,0,0,0
381,6.356356356,2040,190,28,2040,125,0,0,0,0,0
382,6.373039706,2036,190,27,2036,125,0,0,0,0,0
383,6.389723056,2032,190,29,2032,125,0,0,0,0,0
384,6.406406406,2028,190,30,2028,125,0,0,0,0,0
385,6.423089756,2025,190,29,2025,125,2611,194,28,2611,125
386,6.439773106,2019,190,29,2019,125,0,0,0,0,0
387,6.456456456,2015,190,29,2015,125,2599,192,28,2599,125
388,6.473139806,2010,190,28,2010,125,0,0,0,0,0
389,6.489823156,2005,190,28,2005,125,2589,192,29,2589,125
390,6.506506507,2001,188,29,2001,125,0,0,0,0,0
391,6.523189857,1997,190,27,1997,125,0,0,0,0,0
392,6.539873207,1992,188,26,1992,125,2578,190,29,2578,125
393,6.556556557,1991,190,30,1991,125,2575,192,31,2575,125
394,6.573239907,1986,190,29,1986,125,0,0,0,0,0
395,6.589923257,1983,190,29,1983,125,2565,194,30,2565,125
396,6.606606607,1980,190,29,1980,125,2562,194,29,2562,125
397,6.623289957,1974,192,29,1974,125,0,0,0,0,0
398,6.639973307,1970,188,29,1970,125,2554,190,31,2554,125
399,6.656656657,1965,188,29,1965,124,2549,190,29,2549,125
400,6.673340007,1961,190,30,1961,124,2543,190,29,2543,125
401,6.690023357,1960,188,28,1960,124,0,0,0,0,0
402,6.706706707,1954,188,28,1954,124,0,0,0,0,0
403,6.723390057,1950,188,29,1950,124,0,0,0,0,0
404,6.740073407,1947,188,30,1947,124,0,0,0,0,0
405,6.756756757,1942,186,29,1942,124,2522,192,29,2522,125
406,6.773440107,1937,188,28,1937,123,2519,192,30,2519,125
407,6.790123457,1936,186,30,1936,123,2516,192,31,2516,125
408,6.806806807,1931,186,29,1931,123,2511,192,28,2511,125
409,6.823490157,1928,186,29,1928,122,0,0,0,0,0
410,6.840173507,1924,186,29,1924,122,2502,192,28,2502,126
411,6.856856857,1919,184,29,1919,121,2501,190,28,2501,126
412,6.873540207,1916,186,30,1916,121,2496,192,30,2496,126
413,6.890223557,1913,184,28,1913,120,0,0,0,0,0
414,6.906906907,1910,184,27,1910,119,2488,192,30,2488,126
415,6.923590257,1903,182,26,1903,119,2485,192,29,2485,126
