t,vf,vb
6,0.341466957,0.184440228
12,0.334820825,0.184068627
18,0.33124183,0.184068627
24,0.327134725,0.184068627
30,0.32054561,0.191421569
36,0.32054561,0.191018343
42,0.322058824,0.191018343
48,0.324078431,0.191018343
54,0.273464052,0.167769608
60,0.273464052,0.167769608
66,0.273464052,0.167488931
72,0.273464052,0.167488931
78,0.278025693,0.149859944
84,0.278025693,0.149859944
90,0.278025693,0.149455338
96,0.279551821,0.149455338
102,0.271288515,0.145824256
108,0.268409586,0.145824256
114,0.268409586,0.145824256
120,0.264555053,0.145824256
126,0.235699797,0.117376606
132,0.235854342,0.117376606
138,0.236310821,0.117376606
144,0.236500754,0.117376606
150,0.250980392,0.128685548
156,0.250980392,0.128851541
162,0.246078431,0.128851541
168,0.246078431,0.128851541
174,0.244895199,0.103529412
180,0.245098039,0.103529412
186,0.245098039,0.103529412
192,0.245098039,0.103529412
198,0.320313725,0.138001867
204,0.320313725,0.138001867
210,0.317973856,0.138001867
216,0.317973856,0.138001867
222,0.366058147,0.117647059
228,0.366058147,0.117647059
234,0.366058147,0.117647059
240,0.366946779,0.117647059
246,0.413915244,NaN
252,0.413915244,NaN
258,0.413915244,NaN
264,0.416078431,NaN
270,0.34494721,0.120343137
276,0.34494721,0.120343137
282,0.34494721,0.120343137
288,0.344081336,0.120343137
294,0.26828143,0.135143288
300,0.26828143,0.135409458
306,0.271413829,0.134158927
312,0.295781343,0.131194296
318,0.286492375,0.112708787
324,0.289164087,0.113580247
330,0.293930906,0.119680465
336,0.298721228,0.126951173
342,0.270588235,0.123856209
348,0.275263952,0.125278219
354,0.275263952,0.125278219
360,0.277559913,0.125278219
366,0.296296296,0.119607843
372,0.296296296,0.121232493
378,0.296296296,0.11788473
384,0.296296296,0.114484503
390,0.26,0.155918664
396,0.26,0.162574595
402,0.26,0.174244833
408,0.26,0.181740196
414,0.264215686,0.16684492
420,0.264215686,0.167957915
426,0.264215686,0.17167756
432,0.264215686,0.173856209
438,0.268627451,0.165039633
444,0.268627451,0.171802054
450,0.268627451,0.180710122
456,0.268627451,0.186851211
462,0.254248366,0.18504332
468,0.254248366,0.185520362
474,0.254248366,0.185882353
480,0.254248366,0.185014006
486,0.28627451,0.160130719
492,0.28627451,0.162480127
498,0.28627451,0.163042187
504,0.286601307,0.162745098
510,0.257568627,0.130392157
516,0.257164404,0.130481283
522,0.257225853,0.131309298
528,0.257471264,0.131710615
534,0.23083779,0.146405229
540,0.232627451,0.149439776
546,0.235148874,0.150907771
552,0.236511156,0.154196078
558,0.264052288,0.148406863
564,0.275599129,0.149778621
570,0.292753623,0.149778621
576,0.31142664,0.150980392
582,NaN,0.166176471
588,0.250980392,0.165464896
594,0.29254902,0.164313725
600,0.303267974,0.164313725
606,0.248366013,0.112563544
612,0.262388592,0.112066365
618,0.270915033,0.112066365
624,0.314648212,0.111529412
630,0.397504456,0.122794118
636,0.401633987,0.122794118
642,0.404524887,0.122794118
648,0.406100218,0.123339658
654,0.241568627,0.101960784
660,0.241568627,0.101960784
666,0.240522876,0.101960784
672,0.240522876,0.101960784
678,0.378352941,0.110364146
684,0.385677749,0.110364146
690,0.398555212,0.110364146
696,0.406372549,0.110364146
702,0.418113912,0.14745098
708,0.42125903,0.14745098
714,0.42283737,0.14745098
720,0.422745098,0.14745098
726,0.456470588,0.148073022
732,0.457298475,0.148073022
738,0.458823529,0.148073022
744,0.462464986,0.147759104
750,0.44254902,0.17254902
756,0.443572985,0.172941176
762,0.443829296,0.172941176
768,0.442875817,0.172941176
774,0.352287582,0.154129531
780,0.357236228,0.154129531
786,0.360990712,0.154656863
792,0.364244521,0.154656863
798,0.367420814,0.163697479
804,0.369607843,0.163697479
810,0.374416433,0.16378316
816,0.37627451,0.16399287
822,0.345098039,0.150980392
828,0.344919786,0.150980392
834,0.346078431,0.150920974
840,0.347494553,0.150411132
846,0.309351433,0.145620915
852,0.310784314,0.145638945
858,0.312655971,0.145533769
864,0.31372549,0.145411765
870,0.275726842,0.115686275
876,0.275726842,0.114887436
882,0.275910364,0.114328808
888,0.276252723,0.114196078
894,0.254621849,0.117797888
900,0.254621849,0.117797888
906,0.253885258,0.117797888
912,0.253885258,0.117797888
918,0.259404503,0.133333333
924,0.259404503,0.133503836
930,0.26092437,0.133333333
936,0.262880325,0.133333333
942,0.237535014,0.107376284
948,0.24057971,0.107376284
954,0.242156863,0.107376284
960,0.24479638,0.107376284
966,0.304117647,0.131862745
972,0.30802139,0.131862745
978,0.30802139,0.131862745
984,0.311764706,0.131862745
990,0.273568627,NaN
996,0.275113122,NaN
1002,0.275113122,0.105882353
1008,0.277269426,0.105882353
1014,0.294989107,0.125490196
1020,0.292760181,0.125490196
1026,0.290666667,0.111111111
1032,0.290666667,0.108683473
1038,0.301834282,0.158496732
1044,0.299256254,0.158496732
1050,0.29789916,0.158496732
1056,0.296732026,0.158496732
1062,0.270208729,0.148613928
1068,0.269100744,0.149019608
1074,0.268990559,0.149250288
1080,0.267647059,0.150609433
1086,0.310094408,0.167320261
1092,0.309490196,0.171360665
1098,0.307246377,0.175816993
1104,0.305490196,0.179256966
1110,0.37540107,NaN
1116,0.372941176,NaN
1122,0.370152505,0.142016807
1128,0.366535948,0.150257998
1134,0.562566845,NaN
1140,0.566573296,NaN
1146,0.577559913,NaN
1152,0.595518207,NaN
1158,0.718954248,NaN
1164,0.733539732,NaN
1170,0.748096886,0.14379085
1176,0.748096886,0.170588235
1182,0.541176471,0.23372549
1188,0.537611408,0.228308824
1194,0.536078431,0.236646383
1200,0.536078431,0.269934641
1206,0.492502884,0.254352941
1212,0.495424837,0.260408844
1218,0.496388029,0.280339163
1224,0.498225957,0.29483066
1230,0.308333333,0.263337033
1236,0.329691877,0.271708683
1242,0.333088235,0.287208217
1248,0.335640138,0.293916541
1254,0.398402324,0.242026144
1260,0.398402324,0.26022409
1266,0.398402324,0.265770308
1272,0.402728048,0.266793169
1278,0.387815126,0.267379679
1284,0.387028658,0.275081699
1290,0.387028658,0.27879617
1296,0.387137255,0.282988871
1302,0.337254902,0.277025527
1308,0.339318885,0.289466484
1314,0.339318885,0.292307692
1320,0.341363212,0.292034314
1326,0.290196078,0.260392157
1332,0.292352941,0.263673891
1338,0.296078431,0.265210084
1344,0.297527707,0.266143791
1350,0.314098973,0.293882353
1356,0.312702472,0.295669935
1362,0.311928105,0.299019608
1368,0.311529412,0.302966315
1374,0.302673797,0.27956427
1380,0.30400682,0.278129713
1386,0.304901961,0.27394958
1392,0.305568627,0.265720081
1398,0.287872186,0.249483066
1404,0.288302907,0.25664488
1410,0.288104575,0.26162465
1416,0.288172043,0.210588235
1422,0.250653595,0.241053922
1428,0.269204152,0.236020334
1434,0.279738562,0.224355005
1440,0.284057971,0.217777778
1446,0.304374057,0.209387998
1452,0.320697168,0.210661765
1458,0.333496732,0.213202614
1464,0.33977591,0.215546218
1470,0.353242836,0.165051903
1476,0.372735761,0.165775401
1482,0.378769439,0.166789216
1488,0.382055853,0.169150327
1494,NaN,0.142628903
1500,0.459536542,0.143288084
1506,0.471372549,0.144156863
1512,0.48086545,0.144934641
1518,0.428594771,0.151820728
1524,0.428594771,0.151820728
1530,0.428594771,0.153231663
1536,0.378431373,0.154298643
1542,0.430696416,0.141041244
1548,0.442232278,0.141736695
1554,0.446588235,0.142193174
1560,0.466884532,0.142193174
1566,0.452738337,0.139921569
1572,0.465761689,0.139921569
1578,0.474346405,0.139921569
1584,0.480926916,0.139921569
1590,0.323529412,0.138562092
1596,0.32765382,0.138562092
1602,0.330952381,0.138562092
1608,0.334204793,0.138562092
1614,0.324452134,0.141321714
1620,0.328063725,0.140336134
1626,0.330423782,0.140336134
1632,0.333071895,0.140336134
1638,0.320098039,0.140796964
1644,0.322580645,0.140130719
1650,0.32496732,0.140130719
1656,0.32496732,0.140130719
1662,0.326942629,0.157908497
1668,0.326942629,0.157908497
1674,0.326942629,0.15821501
1680,0.32745098,0.15821501
1686,0.368104575,0.139531942
1692,0.366193374,0.138823529
1698,0.368104575,0.138823529
1704,0.369512966,0.139148073
1710,0.307727797,0.121568627
1716,0.305322129,0.121687463
1722,0.301112878,0.121936275
1728,0.298235294,0.121568627
1734,0.308235294,0.121027721
1740,0.306064751,0.121288515
1746,0.307843137,0.121859114
1752,0.31092437,0.122624434
1758,0.309803922,0.110901961
1764,0.331825038,0.110901961
1770,0.34877451,0.110901961
1776,0.375536881,0.110620915
1782,NaN,0.117960784
1788,NaN,0.117960784
1794,0.468627451,0.117960784
1800,0.48627451,0.117960784
1806,0.267973856,0.115170279
1812,0.452049911,0.115170279
1818,0.504850361,0.115170279
1824,0.526001705,0.115170279
1830,0.468092692,0.105392157
1836,0.502745098,0.105392157
1842,0.509625668,0.105392157
1848,0.520098039,0.105392157
1854,0.618538324,0.122994652
1860,0.618538324,0.122994652
1866,0.614705882,0.122994652
1872,0.593277311,0.122994652
1878,0.514919011,0.104575163
1884,0.514117647,0.104201681
1890,0.505637255,0.104201681
1896,0.495324284,0.104201681
1902,0.546304676,0.107843137
1908,0.551143791,0.107843137
1914,0.554367201,0.107843137
1920,0.557688338,0.105882353
1926,0.617173766,0.111111111
1932,0.618010167,0.111111111
1938,0.619251337,0.111111111
1944,0.618163055,0.111111111
1950,0.640480708,0.121755369
1956,0.644957983,0.121746881
1962,0.64479638,0.121057118
1968,0.64479638,0.121746881
1974,0.63644752,0.126143791
1980,0.631176471,0.126143791
1986,0.619838524,0.126143791
1992,0.619838524,0.126143791
1998,0.666968326,0.112091503
2004,0.665568627,0.112091503
2010,0.66513214,0.112091503
2016,0.661437908,0.112091503
2022,0.682222222,0.107189542
2028,0.684033613,0.105882353
2034,0.685620915,0.105446623
2040,0.683333333,0.102614379
2046,0.602759622,0.144313725
2052,0.602196078,0.144313725
2058,0.601875533,0.14379085
2064,0.603361345,0.14379085
2070,0.624836601,0.117927171
2076,0.622745098,0.117927171
2082,0.621312873,0.117927171
2088,0.619607843,0.121288515
2094,0.617173766,0.131037781
2100,0.616946779,0.133071895
2106,0.616557734,0.137562476
2112,0.616557734,0.141604278
2118,0.594621849,0.181836945
2124,0.593540946,0.18130415
2130,0.590196078,0.185816993
2136,0.587729285,0.179411765
2142,0.570955882,0.176381462
2148,0.570651486,0.177493606
2154,0.571196755,0.178513072
2160,0.571568627,0.178631453
2166,0.568496732,0.156506239
2172,0.567951318,0.157900807
2178,0.566106443,0.156506239
2184,0.563834423,0.155637255
2190,0.583193277,0.127015251
2196,0.581699346,0.12710496
2202,0.578039216,0.127083333
2208,0.575653595,0.127189542
2214,0.545098039,0.12459893
2220,0.543438914,0.12459893
2226,0.541176471,0.12459893
2232,0.541176471,0.125490196
2238,0.626724764,0.122745098
2244,0.624585219,0.123039216
2250,0.624585219,0.124183007
2256,0.621490196,0.117647059
2262,0.497227857,0.10245098
2268,0.497227857,0.101960784
2274,0.498039216,0.101960784
2280,0.498340875,0.101960784
2286,0.487712418,0.111111111
2292,0.487762001,0.111111111
2298,0.488307916,0.111111111
2304,0.488536953,0.111111111
2310,0.434509804,0.101960784
2316,0.430812325,0.101960784
2322,0.428054299,0.101960784
2328,0.426666667,0.101960784
2334,0.411111111,0.200326797
2340,0.406535948,0.174208145
2346,0.40245098,0.169047619
2352,0.395882353,0.16673428
2358,0.438022165,0.141717377
2364,0.434360411,0.138269101
2370,0.425925926,0.138201487
2376,0.421008403,0.139891819
2382,0.401098039,0.194564843
2388,0.401143791,0.194682619
2394,0.400713012,0.194682619
2400,0.400588235,0.194682619
2406,0.269117647,0.130882353
2412,0.268496732,0.131287298
2418,0.27254902,0.132212885
2424,0.27254902,0.138300654
2430,0.329873126,0.158169935
2436,0.329873126,0.162923351
2442,0.329873126,0.165118679
2448,0.330283224,0.166535948
2454,0.221786492,0.171360665
2460,0.221786492,0.171360665
2466,0.221786492,0.173284314
2472,0.22627451,0.177908497
2478,0.297058824,0.167589389
2484,0.297058824,0.162009804
2490,0.297058824,0.158039216
2496,0.308235294,0.155182073
2502,0.310160428,0.185772914
2508,0.310160428,0.186176471
2514,0.310160428,0.185210084
2520,0.310160428,0.184313725
2526,NaN,0.188696655
2532,NaN,0.184946237
2538,NaN,0.181232493
2544,NaN,0.176470588
2550,0.325490196,0.186151961
2556,0.339366516,0.181473969
2562,0.345098039,0.177342048
2568,0.345098039,0.172705882
2574,0.298039216,0.210939112
2580,0.298039216,0.206971678
2586,0.247058824,0.198529412
2592,0.247058824,0.16372549
2598,0.502992776,0.210326797
2604,0.502992776,0.205519245
2610,0.502992776,0.20172549
2616,0.502992776,0.197271952
2622,NaN,0.243417367
2628,NaN,0.238117647
2634,NaN,0.23083779
2640,NaN,0.223921569
2646,NaN,0.262377451
2652,NaN,0.260130719
2658,NaN,0.257282913
2664,NaN,0.25520362
2670,0.263180828,0.232750397
2676,0.263180828,0.230252101
2682,0.261713106,0.226102941
2688,0.261713106,0.222222222
2694,NaN,0.2709062
2700,NaN,0.269467787
2706,NaN,0.266785502
2712,NaN,0.264263125
2718,0.302240896,0.253703704
2724,0.302240896,0.251557093
2730,0.308898944,0.248829855
2736,0.316339869,0.246112238
2742,0.341889483,0.234658188
2748,0.341889483,0.228835063
2754,0.341889483,0.224877451
2760,0.341889483,0.215266106
2766,0.349206349,0.260341556
2772,0.349206349,0.257471264
2778,0.349206349,0.253013798
2784,0.349206349,0.248156863
2790,0.336764706,0.256565657
2796,0.336764706,0.25313093
2802,0.336764706,0.248739496
2808,0.336764706,0.245098039
2814,0.315151515,0.249542484
2820,0.320915033,0.247464503
2826,0.325490196,0.245798319
2832,0.334379085,0.239819005
2838,0.378649237,0.229691877
2844,0.380748663,0.227305737
2850,0.381598793,0.219921569
2856,0.396697626,0.216176471
2862,NaN,0.182107843
2868,NaN,0.175686275
2874,0.233333333,0.17214334
2880,0.281232493,0.168767507
2886,0.319607843,0.16372549
2892,0.419607843,0.160929557
2898,0.430065359,0.15852187
2904,0.439215686,0.156078431
2910,0.433551198,0.237195484
2916,0.4826546,0.234408602
2922,0.506617647,0.232941176
2928,0.528379773,0.232454361
2934,0.250980392,0.210021786
2940,0.556470588,0.206431373
2946,0.632679739,0.203104575
2952,0.653304285,0.195008913
2958,0.555718954,0.177687627
2964,0.56454902,0.171968046
2970,0.56454902,0.168778281
2976,0.481430219,0.162908497
2982,0.54841629,0.16112532
2988,0.545882353,0.157754011
2994,0.53557423,0.154248366
3000,0.514878893,0.154248366
3006,0.445461147,0.159645794
3012,0.445461147,0.157124183
3018,0.463372549,0.154969574
3024,0.478431373,0.152661064
3030,0.4911188,0.185620915
3036,0.487286528,0.183290708
3042,0.487626775,0.181996435
3048,0.485960784,0.180018674
3054,0.507958478,0.180392157
3060,0.507427213,0.180392157
3066,0.506767868,0.179691877
3072,0.506143791,0.178649237
3078,0.508206245,0.177183601
3084,0.509647059,0.175332068
3090,0.509313725,0.174442191
3096,0.509803922,0.173669468
3102,0.549154834,0.185383244
3108,0.549154834,0.182598039
3114,0.549154834,0.176601307
3120,0.549719888,0.171428571
3126,0.428235294,0.154771242
3132,0.428127113,0.152129817
3138,0.428127113,0.146550472
3144,0.428011204,0.139921569
3150,0.401875533,0.16816609
3156,0.401875533,0.163480392
3162,0.401875533,0.158039216
3168,0.401875533,0.155104801
3174,0.397530864,0.202614379
3180,0.397530864,0.200253004
3186,0.399579832,0.199084967
3192,0.402569304,0.196498599
3198,0.390808824,0.213903743
3204,0.38550208,0.212622549
3210,0.380507497,0.210065359
3216,0.380507497,0.207002801
3222,0.300140056,0.207843137
3228,0.308888889,0.204680582
3234,0.318478907,0.202839757
3240,0.324033613,0.199419027
3246,0.292053664,0.226143791
3252,0.30681606,0.224452134
3258,0.346757164,0.221936275
3264,0.367410412,0.21869281
3270,0.408627451,0.197090449
3276,0.465546218,0.198242055
3282,0.501525054,0.198039216
3288,0.525831202,0.196229261
3294,0.49714795,0.207712418
3300,0.505580694,0.207437458
3306,0.508496732,0.206245461
3312,0.513860717,0.205580694
3318,0.209803922,0.212026144
3324,0.448039216,0.210953347
3330,0.539869281,0.209943978
3336,0.563650075,0.208133624
3342,0.29859944,0.198242055
3348,0.335650624,0.198039216
3354,0.423394185,0.198340875
3360,0.423394185,0.19827451
3366,0.601452433,0.224400871
3372,0.6,0.225188537
3378,0.594771242,0.225568627
3384,0.579019608,0.226470588
3390,0.383281734,0.18025693
3396,0.39252451,0.181232493
3402,0.411328976,0.181232493
3408,0.463305322,0.181989833
3414,0.39545098,0.115359477
3420,0.410741688,0.11657754
3426,0.410741688,0.11657754
3432,0.410741688,0.11657754
3438,0.445490196,0.13837535
3444,0.445490196,0.13837535
3450,0.445490196,0.13837535
3456,0.445490196,0.13837535
3462,0.420235294,0.141446924
3468,0.420235294,0.141446924
3474,0.420235294,0.141699346
3480,0.420235294,0.141699346
3486,0.561029412,0.147520185
3492,0.561669829,0.147167756
3498,0.562745098,0.147254902
3504,0.563894523,0.150065359
3510,0.55625,0.178280543
3516,0.555724225,0.180392157
3522,0.554117647,0.184313725
3528,0.553211629,0.190501089
3534,0.563161022,0.171568627
3540,0.566421569,0.17254902
3546,0.568880455,0.175317186
3552,0.568880455,0.178039216
3558,0.500612745,0.178039216
3564,0.500612745,0.179772962
3570,0.498039216,0.181028087
3576,0.498039216,0.183753501
3582,0.522580645,0.135620915
3588,0.52130719,0.135720375
3594,0.52130719,0.136898396
3600,0.520081136,0.137441643
3606,0.541053922,0.233333333
3612,0.53940544,0.233333333
3618,0.53940544,0.233333333
3624,0.537647059,0.233333333
3630,0.452877925,0.116078431
3636,0.450849673,0.116078431
3642,0.450849673,0.116078431
3648,0.448411089,0.116078431
3654,0.454640523,0.2054155
3660,0.454640523,0.20345098
3666,0.454090602,0.19959432
3672,0.454090602,0.193886967
3678,0.370655849,0.108823529
3684,0.370655849,0.108823529
3690,0.368347339,0.112254902
3696,0.368347339,0.118169935
3702,0.454621849,0.183509301
3708,0.453159041,0.181922525
3714,0.453159041,0.180392157
3720,0.453159041,0.179679144
3726,0.458242556,0.13368984
3732,0.456410256,0.13368984
3738,0.456410256,0.13368984
3744,0.456410256,0.121568627
3750,0.460851927,0.205392157
3756,0.45952381,0.205392157
3762,0.45952381,0.207843137
3768,0.458097313,0.21232493
3774,0.474248366,0.126122707
3780,0.474248366,0.126535948
3786,0.474248366,0.126842461
3792,0.471129141,0.128249818
3798,0.503167421,0.143204868
3804,0.503167421,0.144397759
3810,0.501333333,0.145969499
3816,0.501333333,0.145969499
3822,0.568627451,0.175980392
3828,0.568627451,0.175980392
3834,0.568627451,0.175980392
3840,0.568470588,0.175980392
3846,0.562885154,0.170332481
3852,0.56238199,0.170332481
3858,0.56238199,0.170332481
3864,0.56238199,0.170332481
3870,0.527843137,0.200326797
3876,0.527843137,0.201193521
3882,0.527640734,0.202054155
3888,0.527640734,0.203050109
3894,0.518954248,0.135555556
3900,0.518954248,0.135555556
3906,0.518954248,0.135555556
3912,0.518954248,0.135555556
3918,0.511372549,0.138480392
3924,0.512460468,0.138480392
3930,0.514828431,0.138480392
3936,0.517765894,0.138480392
3942,0.511195446,0.192447349
3948,0.515318627,0.192447349
3954,0.52272203,0.192447349
3960,0.528976035,0.192447349
3966,0.555957768,0.143977591
3972,0.581910183,0.143977591
3978,0.586571598,0.145638945
3984,0.5967507,0.145638945
3990,0.673303167,0.179469435
3996,0.685057471,0.179469435
4002,0.691587603,0.179469435
4008,0.693627451,0.179469435
4014,0.656055363,0.170291147
4020,0.666047472,0.170291147
4026,0.666047472,0.170291147
4032,0.666047472,0.170291147
4038,0.471148459,0.188496732
4044,0.464705882,0.188496732
4050,0.463215686,0.188496732
4056,0.463215686,0.188235294
4062,0.639607843,0.197647059
4068,0.639607843,0.197647059
4074,0.637592968,0.197647059
4080,0.630112045,0.196655133
4086,0.555424837,0.18162465
4092,0.549560514,0.18162465
4098,0.549560514,0.181430219
4104,0.549560514,0.181430219
4110,0.572128852,0.189583333
4116,0.571096587,0.189583333
4122,0.571096587,0.189247312
4128,0.571096587,0.188496732
4134,0.600676133,0.195555556
4140,0.600676133,0.194455713
4146,0.600676133,0.193137255
4152,0.600676133,0.19114016
4158,0.644836601,0.201792717
4164,0.644836601,0.201614764
4170,0.644836601,0.200612745
4176,0.644836601,0.200612745
4182,0.638330171,0.201206637
4188,0.638330171,0.201206637
4194,0.638330171,0.204327248
4200,0.638330171,0.206862745
4206,0.625426945,0.200765184
4212,0.625426945,0.200584063
4218,0.625426945,0.200705882
4224,0.625426945,0.20627451
4230,0.567235927,0.219753086
4236,0.567235927,0.222582826
4242,0.567235927,0.226732026
4248,0.567235927,0.232418301
4254,0.641745731,0.21254902
4260,0.641745731,0.215686275
4266,0.633986928,0.215686275
4272,0.633986928,0.215686275
4278,0.53370098,0.187867647
4284,0.530803289,0.187867647
4290,0.530803289,0.187867647
4296,0.527189542,0.187867647
4302,0.514990512,0.144503862
4308,0.514990512,0.144503862
4314,0.509934641,0.144503862
4320,0.509934641,0.14375
4326,0.439486139,0.176
4332,0.435014006,0.176
4338,0.435014006,0.176
4344,0.435014006,0.176